ID,depth,table,price,x,y,z,quality
25281,56.7,58,13929,8.31,8.36,4.73,HSI1_2.01_Good
41776,56.7,59,1246,5.39,5.37,3.05,ESI1_0.53_Good
44155,56.7,60,1563,5.59,5.53,3.15,DSI2_0.58_Good
5558,56.7,60,3858,6.62,6.58,3.74,FSI2_1_Good
33016,56.7,60,814,4.57,4.5,2.57,FVS1_0.31_Good
39088,56.7,60,1060,5.38,5.35,3.04,HSI2_0.51_Good
8456,56.7,61,4413,6.68,6.7,3.79,ESI2_1.01_Good
16534,56.7,61,6606,6.71,6.66,3.79,EVS2_1.01_Good
7024,56.7,62,4158,6.91,6.86,3.9,GSI2_1.12_Good
10658,56.7,62,4838,6.64,6.59,3.75,GVS2_1_Good
4416,56.7,62,3611,6.51,6.39,3.66,HSI2_0.96_Good
3754,56.7,62,3454,6.51,6.39,3.66,HSI2_0.96_Good
49940,56.7,63,2187,5.87,5.92,3.34,HVS2_0.7_Good
19153,56.7,63,7912,7.52,7.57,4.28,ISI1_1.5_Fair
13724,56.7,64,603,4.52,4.55,2.57,GVS2_0.32_Good
25900,56.7,66,15030,8.88,8.64,4.99,ISI2_2.48_Fair
22732,56.7,68,10752,6.66,6.64,3.77,DVVS1_1_Fair
52394,56.7,70,2508,6.28,6.16,3.53,FSI2_0.82_Fair
18531,56.8,58,7553,6.59,6.64,3.76,EVVS2_1_Fair
11628,56.8,61,5050,6.5,6.45,3.68,DVS1_1.01_Good
12187,56.8,61,5185,6.59,6.62,3.75,ESI1_1.01_Fair
26651,56.8,61,16442,8.52,8.42,4.81,HSI2_2.03_Very Good
52040,56.8,62,2450,5.93,5.89,3.37,DSI1_0.71_Good
39220,56.8,62,1066,5.1,5.14,2.91,FVS2_0.45_Good
6628,56.8,62,4086,7.22,7.16,4.08,HSI2_1.28_Good
7417,56.8,64,4226,6.68,6.52,3.75,FSI1_0.98_Good
41695,56.8,64,1240,5.08,4.99,2.86,HVVS1_0.45_Good
40970,56.8,64,1180,5.08,4.99,2.86,HVVS1_0.45_Good
24036,56.8,65,633,4.37,4.4,2.49,FIF_0.29_Good
6631,56.8,65,4086,6.61,6.49,3.72,HSI1_1_Good
6920,56.8,65,4138,6.61,6.49,3.72,HSI1_1_Good
6163,56.8,66,3991,6.63,6.58,3.75,ESI2_1.01_Fair
24524,56.8,66,12811,8.79,8.69,4.96,JSI1_2.29_Fair
6466,56.8,67,4053,6.56,6.44,3.69,FSI1_0.94_Fair
17490,56.9,58,7026,8.46,8.3,4.77,GI1_2.05_Good
11114,56.9,58,4935,6.64,6.75,3.81,HSI1_1.02_Fair
31245,56.9,59,757,4.45,4.48,2.54,FVVS2_0.31_Fair
23287,56.9,59,11312,8.41,8.3,4.74,ISI2_2.01_Good
44867,56.9,60,1628,5.98,5.93,3.39,EI1_0.73_Good
6564,56.9,60,4077,6.68,6.64,3.79,FSI2_1.01_Good
26560,56.9,60,16241,8.73,8.66,4.95,ISI2_2.26_Good
52345,56.9,61,2498,5.91,5.97,3.38,ESI1_0.72_Fair
11091,56.9,61,4928,6.65,6.6,3.77,ESI1_1.01_Good
46716,56.9,61,1793,5.85,5.9,3.34,ESI2_0.7_Good
38315,56.9,61,1018,5.12,5.07,2.9,FSI1_0.44_Good
2991,56.9,61,3302,6.41,6.24,3.6,HVS2_0.91_Good
11161,56.9,62,4948,6.64,6.69,3.79,DSI1_1.02_Good
52112,56.9,62,2461,6.51,6.45,3.69,FSI2_0.91_Good
49883,56.9,62,2177,5.87,5.9,3.35,FSI2_0.7_Very Good
45035,56.9,62,1637,5.42,5.4,3.08,GVS2_0.54_Good
27634,56.9,62,18541,8.87,8.81,5.03,ISI1_2.4_Good
5699,56.9,63,3889,6.54,6.49,3.71,ESI2_1_Fair
46346,56.9,63,1758,5.78,5.71,3.27,ESI2_0.7_Good
9908,56.9,63,4688,6.45,6.52,3.69,FSI1_1_Fair
12270,56.9,63,5208,6.6,6.57,3.75,HVS2_1_Good
772,56.9,65,2858,5.89,5.84,3.34,DVS2_0.71_Fair
3,56.9,65,327,4.05,4.07,2.31,EVS1_0.23_Good
6741,56.9,66,579,4.53,4.47,2.56,ESI1_0.31_Fair
21157,56.9,66,9314,8.09,7.94,4.56,JVS1_1.76_Fair
920,56.9,69,2879,5.93,5.77,3.33,FVS1_0.72_Fair
48499,57,58,1981,5.87,5.89,3.35,HVS2_0.7_Fair
32073,57,60,780,4.6,4.53,2.6,EVS2_0.32_Good
33103,57,61,816,6.65,4.61,2.64,EVS2_0.34_Good
8160,57,62,4361,6.91,6.84,3.92,DSI2_1.1_Good
49719,57,62,2149,5.84,5.87,3.34,FSI1_0.71_Fair
43386,57,62,1410,5.42,5.44,3.1,FSI1_0.55_Good
22030,57,62,628,4.51,4.54,2.58,GVS1_0.32_Good
49100,57,62.5,2063,5.67,5.78,3.26,FVS2_0.64_Fair
52245,57,63,2487,6.09,6.18,3.5,HSI2_0.8_Very Good
23289,57,63,11313,8.49,8.45,4.83,ISI2_2.08_Good
15147,57,64,6088,7.53,7.48,4.28,DI1_1.51_Good
14848,57,64,5979,7.48,7.53,4.28,DI1_1.51_Good
8890,57,64,4488,6.8,6.71,3.85,FSI1_1.06_Good
22832,57,64,10863,9.38,9.31,5.33,II1_3_Good
5776,57,66,3899,6.96,6.91,3.98,DSI2_1.18_Fair
53155,57,66,2623,5.83,5.81,3.32,GVS2_0.71_Fair
25138,57,66,13701,8.8,8.6,4.98,JVS2_2.29_Fair
46911,57,67,1814,5.49,5.36,3.09,FVS2_0.56_Fair
50039,57,68,2198,6.05,5.87,3.4,FSI1_0.71_Fair
18686,57.1,56,7643,7.69,7.65,4.38,ESI2_1.53_Good
4925,57.1,56,3726,6.33,6.28,3.6,HSI1_0.9_Good
50907,57.1,57,2318,5.87,5.9,3.36,IVS1_0.71_Fair
8894,57.1,58,4488,6.6,6.64,3.78,HSI1_1.01_Good
9465,57.1,59,4600,6.65,6.69,3.81,ESI2_1.01_Fair
24349,57.1,60,12615,8.31,8.25,4.73,FSI2_2.02_Good
49265,57.1,60,2088,5.65,5.7,3.24,FVVS2_0.62_Fair
44501,57.1,61,1599,5.68,5.57,3.21,FSI1_0.6_Good
37781,57.1,61,1000,4.86,4.91,2.79,FVS1_0.39_Very Good
40330,57.1,61,1127,4.83,4.88,2.77,GIF_0.39_Fair
7102,57.1,61,4167,6.66,6.57,3.78,HSI1_1.02_Good
6656,57.1,61,4093,6.57,6.66,3.78,HSI1_1.02_Good
35915,57.1,61,919,5.11,5.15,2.93,IVS2_0.47_Fair
48706,57.1,61,2010,5.9,5.93,3.38,IVS2_0.7_Good
52704,57.1,62,2553,5.89,5.94,3.38,GVS1_0.7_Fair
3185,57.1,62,3342,6.66,6.58,3.78,ISI2_1.02_Good
16123,57.1,63,6443,7.27,7.22,4.14,DSI2_1.3_Good
15812,57.1,63,6327,7.22,7.27,4.14,DSI2_1.3_Good
40485,57.1,63,1141,5.23,5.27,3,DSI2_0.5_Good
35073,57.1,63,886,4.77,4.86,2.75,GVS1_0.38_Very Good
47604,57.1,63,1879,5.39,5.47,3.1,GVVS2_0.55_Very Good
4886,57.1,63,3717,6.6,6.56,3.76,IVS2_1.01_Good
48558,57.1,64,1990,5.81,5.86,3.33,FSI2_0.7_Fair
32507,57.1,64,798,4.88,4.9,2.79,GVS1_0.4_Fair
12233,57.2,54,5198,6.66,6.62,3.8,DSI1_1.02_Good
5005,57.2,59,3743,6.66,6.63,3.8,DSI2_1.03_Good
42513,57.2,59,1323,5.37,5.32,3.06,ESI1_0.54_Good
529,57.2,59,2826,5.94,5.88,3.38,EVS1_0.7_Good
46574,57.2,59,1784,5.35,5.39,3.07,FVS1_0.52_Fair
10291,57.2,59,4758,6.66,6.62,3.8,GSI1_1_Good
41061,57.2,60,1190,5.25,5.2,2.99,DSI1_0.5_Good
41547,57.2,60,1235,5.25,5.2,2.99,DSI1_0.5_Good
44040,57.2,60,1547,6.59,6.36,3.72,GI1_0.97_Fair
6493,57.2,60,4060,6.84,6.74,3.88,HSI1_1.06_Good
40900,57.2,60,1178,5.18,5.21,2.97,HVS2_0.47_Very Good
13126,57.2,60,5431,7.07,7.01,4.03,IVS2_1.22_Good
2217,57.2,62,3144,7.01,6.95,3.99,EI1_1.21_Good
12815,57.2,62,5345,6.59,6.56,3.76,ESI1_1_Good
222,57.2,62,2782,5.81,5.77,3.31,EVS1_0.7_Good
25351,57.2,62,641,4.45,4.39,2.53,FSI1_0.3_Good
21603,57.2,62,9702,7.64,7.61,4.36,IVS1_1.5_Good
21602,57.2,62,9702,7.64,7.61,4.36,IVS1_1.5_Good
21685,57.2,62,9784,7.72,7.66,4.4,IVS2_1.56_Good
21513,57.2,62,9609,7.66,7.72,4.4,IVS2_1.56_Good
51718,57.2,63,2401,5.84,5.87,3.35,FSI1_0.7_Good
36933,57.2,63,478,4.1,4.15,2.36,FVVS1_0.24_Very Good
49208,57.2,64,2079,5.27,5.36,3.04,EVVS2_0.52_Fair
23568,57.2,64,11576,8.51,8.46,4.85,JVS2_2.09_Good
52084,57.2,65,2457,6.08,6.02,3.46,HSI1_0.77_Good
48627,57.2,66,2000,5.76,5.74,3.29,ESI1_0.7_Fair
43706,57.2,70,1436,5.82,5.75,3.31,IVS2_0.67_Fair
2025,57.3,58,3105,7.53,7.42,4.28,EI1_1.52_Good
2026,57.3,58,3105,7.53,7.42,4.28,EI1_1.52_Good
5707,57.3,59,574,4.6,4.62,2.64,EVS2_0.33_Good
14039,57.3,59,5706,6.71,6.65,3.83,GVS1_1.02_Good
25341,57.3,59,14042,8.27,8.24,4.73,HVS2_2_Good
2314,57.3,59,3166,6.29,6.44,3.65,IVS2_0.87_Fair
51869,57.3,60,2426,5.5,5.57,3.17,EVVS2_0.56_Fair
39254,57.3,60,1069,4.84,4.89,2.79,EVVS2_0.4_Fair
2086,57.3,60,3112,5.83,5.89,3.36,FVVS2_0.68_Very Good
6994,57.3,61,4155,6.64,6.59,3.79,FSI2_1_Good
42447,57.3,62,1315,4.95,5,2.85,DVS1_0.42_Good
6341,57.3,62,4032,6.54,6.59,3.76,ESI2_1_Fair
13279,57.3,62,5487,6.63,6.59,3.79,FVS2_1.01_Good
14456,57.3,62,5833,7.55,7.5,4.31,HSI2_1.5_Good
46361,57.3,62.5,1760,5.65,5.7,3.25,HVS1_0.63_Fair
50522,57.3,63,2273,5.78,5.84,3.33,GVS2_0.7_Fair
15670,57.3,64,6285,6.59,6.46,3.79,EVS2_1_Fair
40474,57.3,64,1140,5.75,5.69,3.28,FI1_0.64_Good
24892,57.3,65,13320,8.26,8.22,4.72,ESI2_2_Good
53661,57.3,67,2707,5.96,5.76,3.36,FVS1_0.71_Fair
9604,57.4,57,4632,6.52,6.48,3.73,FSI1_1.01_Good
15624,57.4,58,6268,6.57,6.64,3.79,EVS2_1_Fair
15062,57.4,58,6050,6.57,6.61,3.78,EVS2_1_Good
15350,57.4,58,6160,6.61,6.57,3.78,EVS2_1_Good
5591,57.4,59,3866,7.02,6.95,4.01,DSI2_1.17_Good
5354,57.4,59,3813,5.99,5.95,3.43,EVVS2_0.73_Fair
51151,57.4,59,2344,6.64,6.6,3.8,GI1_1.02_Good
6348,57.4,59,4032,6.61,6.53,3.77,IVVS2_1_Good
49653,57.4,59,2140,6.25,6.19,3.57,JSI1_0.82_Good
48855,57.4,59,2033,6.19,6.25,3.57,JSI1_0.82_Good
17553,57.4,60,7064,7,6.9,3.99,EVS2_1.19_Good
17314,57.4,60,6937,6.9,7,3.99,EVS2_1.19_Good
5922,57.4,60,3941,6.63,6.53,3.78,GSI2_1_Good
5499,57.4,60,3844,6.76,6.72,3.87,JVS2_1.04_Good
43716,57.4,60.9,1437,5.6,5.65,3.23,IVS2_0.61_Fair
10690,57.4,61,4844,6.53,6.63,3.78,ESI1_1_Fair
51971,57.4,61,545,4.39,4.42,2.53,FSI1_0.29_Good
3597,57.4,61,3424,6.82,6.75,3.89,GSI2_1.09_Good
21574,57.4,61,9678,7.49,7.63,4.34,HVS2_1.51_Fair
5740,57.4,61,3892,6.67,6.71,3.84,ISI1_1.03_Fair
37276,57.4,61,483,4.41,4.44,2.54,JVVS2_0.3_Good
2480,57.4,61,3193,6.42,6.37,3.67,JVVS2_0.9_Good
36835,57.4,62,957,4.67,4.71,2.69,DVVS1_0.34_Good
12281,57.4,62,5212,6.54,6.59,3.77,ESI1_1_Fair
42013,57.4,62,1266,5.24,5.29,3.02,ESI1_0.51_Good
42903,57.4,62,1361,5.29,5.24,3.02,ESI1_0.51_Good
42575,57.4,62,1327,5.53,5.49,3.16,ESI2_0.59_Good
15644,57.4,62,6272,6.56,6.53,3.76,EVS2_1_Good
2412,57.4,62,3179,7.56,7.39,4.29,GI1_1.5_Good
12477,57.4,62,5251,7.3,7.23,4.17,JVS2_1.33_Good
47912,57.4,63,1915,5.54,5.58,3.19,GVS1_0.59_Very Good
48132,57.4,63,1939,6.38,6.33,3.65,HI1_0.9_Good
41857,57.4,63,1255,5.89,5.8,3.36,HI1_0.7_Good
7705,57.4,65,4277,6.26,6.29,3.6,DVS2_0.9_Fair
2132,57.4,65,3122,6.42,6.48,3.7,ISI1_0.92_Good
52676,57.4,67,2550,6.49,6.36,3.69,IVS2_0.88_Fair
8203,57.4,68,4368,6.52,6.47,3.73,HVS1_1_Fair
43551,57.5,56,1429,5.3,5.24,3.03,GVS1_0.5_Good
51399,57.5,57,2369,5.94,6.01,3.44,HVS2_0.74_Good
46568,57.5,58,1783,5.91,5.89,3.39,ESI2_0.71_Good
50212,57.5,58,2229,5.8,5.85,3.35,ESI2_0.7_Good
46569,57.5,58,1783,5.91,5.89,3.39,ESI2_0.71_Good
96,57.5,58,2759,5.85,5.9,3.38,EVS2_0.7_Good
46790,57.5,58,1806,5.12,5.18,2.96,FIF_0.46_Good
21683,57.5,58,9784,7.82,7.67,4.45,FSI2_1.56_Good
13705,57.5,59,5601,7.56,7.51,4.33,EI1_1.51_Good
46086,57.5,60,1738,5.18,5.25,3,DVS1_0.49_Good
17845,57.5,60,7197,7.36,7.31,4.22,FSI1_1.36_Good
5962,57.5,60,3950,6.33,6.37,3.65,FSI1_0.9_Good
12693,57.5,60,599,4.83,4.88,2.79,GSI1_0.38_Very Good
25563,57.5,60,14395,8.57,8.48,4.9,HSI1_2.14_Good
28978,57.5,60,435,4.46,4.51,2.58,HVS1_0.31_Good
49569,57.5,60.1,2131,5.78,5.83,3.34,GVS2_0.67_Good
52306,57.5,61,548,4.16,4.19,2.4,DVVS2_0.25_Good
51577,57.5,61,2391,5.47,5.39,3.12,EVVS2_0.54_Good
51265,57.5,61,2358,6.22,6.17,3.56,FSI2_0.83_Good
53243,57.5,61,2644,5.91,5.96,3.41,GSI1_0.71_Very Good
24608,57.5,61,12929,8.37,8.35,4.81,GSI2_2.02_Good
29935,57.5,61,714,4.66,4.6,2.66,GVS2_0.34_Good
724,57.5,61,556,4.6,4.66,2.66,GVS2_0.34_Good
5807,57.5,62,3909,6.62,6.6,3.8,DSI2_1.02_Good
5482,57.5,62,3839,6.6,6.62,3.8,DSI2_1.02_Good
52344,57.5,62,2498,5.81,5.85,3.35,ESI1_0.7_Good
11640,57.5,62,5051,6.5,6.58,3.76,ESI1_1_Good
14018,57.5,62,5701,6.58,6.53,3.77,GVS2_1.01_Good
34025,57.5,62,849,4.47,4.54,2.59,GVVS1_0.31_Good
10445,57.5,62,4788,6.51,6.47,3.73,HSI1_1_Good
50884,57.5,62,2316,6.03,6.08,3.48,ISI1_0.76_Very Good
12642,57.5,62,5293,6.71,6.83,3.9,IVS1_1.06_Good
50487,57.5,62,2268,5.81,5.78,3.33,IVS2_0.7_Good
49654,57.5,62,2140,6.25,6.2,3.58,JSI1_0.82_Good
48854,57.5,62,2033,6.2,6.25,3.58,JSI1_0.82_Good
51890,57.5,63,2430,6.13,6.05,3.5,DSI2_0.78_Good
7119,57.5,63,4171,6.56,6.58,3.78,ESI2_1.01_Good
34939,57.5,63,377,4.24,4.28,2.45,EVS1_0.27_Good
14922,57.5,63,6006,7.53,7.49,4.32,GSI2_1.5_Good
14923,57.5,63,6006,7.53,7.49,4.32,GSI2_1.5_Good
220,57.5,64,2782,5.34,5.37,3.08,DVVS2_0.53_Very Good
5895,57.5,66,3931,6.3,6.25,3.61,DVS2_0.9_Fair
33330,57.5,66,827,5.3,5.17,3.01,FI1_0.5_Fair
15952,57.5,67,6381,0,0,0,GVS1_1.14_Fair
41796,57.5,68,1249,5.18,5.11,2.96,DVS2_0.49_Fair
2444,57.5,68,3187,6.37,6.33,3.65,ESI2_0.9_Fair
1196,57.6,56,2933,5.98,6.07,3.47,DSI2_0.75_Good
47716,57.6,56,1885,5.27,5.35,3.06,GVVS2_0.51_Good
11531,57.6,57,5027,6.56,6.52,3.77,ESI1_1_Fair
7141,57.6,58,4177,6.6,6.67,3.82,DSI2_1.03_Good
8013,57.6,58,4328,6.67,6.58,3.81,IVS1_1.03_Fair
3588,57.6,58,3422,6.59,6.56,3.79,JVS2_1_Good
7458,57.6,59,4234,6.53,6.56,3.77,GSI1_0.96_Good
48959,57.6,59,2048,6.13,6.06,3.51,JVS2_0.79_Good
13327,57.6,60,5501,6.59,6.64,3.81,DSI1_1.01_Good
50617,57.6,60,399,4.15,4.18,2.4,DVS1_0.25_Good
14429,57.6,60,5825,6.98,7.02,4.03,FSI1_1.19_Good
5968,57.6,60,3950,6.34,6.37,3.66,FSI1_0.9_Good
17118,57.6,60,6828,6.83,6.79,3.92,FVS2_1.07_Good
50760,57.6,60,2298,5.49,5.45,3.15,FVVS2_0.57_Good
24074,57.6,60,12215,8.32,8.23,4.76,HSI2_2.01_Good
1229,57.6,61,2940,6.67,6.6,3.82,HI1_1_Good
39029,57.6,61,1056,5.34,5.32,3.07,HSI1_0.52_Good
4785,57.6,61,3696,6.82,6.73,3.9,HSI2_1.1_Good
4542,57.6,61,3640,6.56,6.52,3.77,ISI1_1_Good
7003,57.6,62,4155,6.62,6.5,3.78,DSI1_1_Good
50203,57.6,62,2227,5.83,5.9,3.38,DSI1_0.69_Very Good
8079,57.6,62,4338,6.66,6.56,3.81,DSI2_1.01_Good
7617,57.6,62,4260,6.56,6.66,3.81,DSI2_1.01_Good
