ID,MonthlyIncome,OverTime,PercentSalaryHike
10638,"$13,402",Yes,12%
10639,"$2,372",No,12%
10640,"$10,845",No,13%
10641,"$6,502",No,14%
10642,"$6,377",No,20%
10643,"$4,649",No,14%
10644,"$2,756",No,13%
10645,"$6,392",No,13%
10646,"$3,597",No,22%
10647,"$4,877",No,21%
10648,"$4,233",No,17%
10649,"$5,396",No,12%
10650,"$5,484",No,14%
10651,"$6,870",No,12%
10652,"$2,008",No,14%
10653,"$4,736",Yes,12%
10654,"$5,677",No,14%
10655,"$12,169",No,11%
10656,"$10,820",No,11%
10657,"$13,191",Yes,17%
10658,"$5,126",Yes,12%
10659,"$8,722",No,12%
10660,"$7,104",No,12%
10661,"$6,545",Yes,13%
10662,"$8,020",No,15%
10663,"$2,044",No,13%
10664,"$16,413",No,16%
10665,"$16,184",No,19%
10666,"$5,577",Yes,12%
10667,"$2,514",No,22%
10668,"$5,304",No,23%
10669,"$5,467",No,18%
10670,"$10,527",No,11%
10671,"$8,380",Yes,14%
10672,"$14,852",No,13%
10673,"$2,070",Yes,11%
10674,"$19,859",Yes,13%
10675,"$2,042",Yes,14%
10676,"$8,998",No,14%
10677,"$8,686",No,22%
10678,"$10,274",No,18%
10679,"$6,893",No,15%
10680,"$4,739",No,12%
10681,"$8,376",No,18%
10682,"$3,755",No,11%
10683,"$2,070",No,23%
10684,"$5,206",No,17%
10685,"$15,972",No,14%
10686,"$19,144",No,14%
10687,"$4,221",No,15%
10688,"$5,775",No,13%
10689,"$9,637",No,14%
10690,"$4,810",No,14%
10691,"$4,051",No,14%
10692,"$3,904",No,12%
10693,"$2,723",No,11%
10694,"$2,075",No,23%
10695,"$13,120",No,17%
10696,"$10,248",No,14%
10697,"$2,127",No,21%
10698,"$13,194",Yes,16%
10699,"$6,220",No,17%
10700,"$6,162",No,12%
10701,"$2,216",Yes,13%
10702,"$3,931",No,11%
10703,"$2,559",Yes,13%
10704,"$5,346",No,13%
10705,"$6,673",Yes,19%
10706,"$3,204",No,14%
10707,"$8,189",Yes,13%
10708,"$13,570",No,23%
10709,"$18,303",No,13%
10710,"$4,680",No,17%
10711,"$6,062",Yes,13%
10712,"$2,045",No,13%
10713,"$2,345",No,14%
10714,"$9,824",No,19%
10715,"$17,174",No,11%
10716,"$2,632",No,14%
10717,"$2,875",Yes,20%
10718,"$6,274",No,22%
10719,"$4,286",No,14%
10720,"$5,368",Yes,25%
10721,"$1,563",No,14%
10722,"$4,771",No,19%
10723,"$3,748",No,13%
10724,"$1,951",No,12%
10725,"$2,328",Yes,16%
10726,"$4,999",No,21%
10727,"$13,966",Yes,19%
10728,"$5,770",No,19%
10729,"$2,014",No,13%
10730,"$12,936",No,11%
10731,"$5,940",No,14%
10732,"$16,959",Yes,12%
10733,"$10,609",No,11%
10734,"$18,880",No,11%
10735,"$6,322",Yes,12%
10736,"$2,187",No,14%
10737,"$13,269",No,15%
10738,"$7,406",Yes,21%
10739,"$18,061",No,22%
10740,"$2,703",No,23%
10741,"$4,400",No,12%
10742,"$5,056",Yes,15%
10743,"$2,532",No,14%
10744,"$7,143",Yes,14%
10745,"$2,269",No,14%
10746,"$5,467",Yes,14%
10747,"$16,595",No,16%
10748,"$2,008",No,12%
10749,"$5,079",No,13%
10750,"$2,274",No,14%
10751,"$2,956",No,17%
10752,"$13,757",No,11%
10753,"$2,438",No,13%
10754,"$2,789",No,11%
10755,"$4,779",No,14%
10756,"$9,713",Yes,13%
10757,"$3,977",Yes,19%
10758,"$2,785",No,14%
10759,"$2,362",No,13%
10760,"$2,436",Yes,13%
10761,"$2,157",No,15%
10762,"$2,774",No,12%
10763,"$2,426",No,13%
10764,"$17,007",No,14%
10765,"$1,393",No,12%
10766,"$5,968",No,20%
10767,"$9,957",No,15%
10768,"$5,154",No,22%
10769,"$5,433",No,12%
10770,"$3,540",No,21%
10771,"$5,647",No,13%
10772,"$18,722",No,11%
10773,"$19,943",No,13%
10774,"$2,244",No,13%
10775,"$2,455",No,19%
10776,"$5,744",Yes,11%
10777,"$4,035",Yes,16%
10778,"$7,847",Yes,17%
10779,"$4,721",Yes,13%
10780,"$6,513",No,17%
10781,"$7,547",No,12%
10782,"$2,844",No,13%
10783,"$5,207",Yes,12%
10784,"$2,472",Yes,23%
10785,"$2,661",No,11%
10786,"$9,738",No,14%
10787,"$2,572",No,16%
10788,"$2,270",No,14%
10789,"$5,674",No,15%
10790,"$2,279",No,16%
10791,"$11,957",No,18%
10792,"$16,437",Yes,21%
10793,"$2,660",Yes,11%
10794,"$9,547",No,17%
10795,"$6,074",Yes,24%
10796,"$2,321",Yes,22%
10797,"$3,464",Yes,13%
10798,"$6,524",No,14%
10799,"$9,069",No,22%
10800,"$3,537",No,12%
10801,"$5,098",No,19%
10802,"$2,479",No,24%
10803,"$3,162",No,17%
10804,"$2,380",No,18%
10805,"$2,979",No,17%
10806,"$6,385",Yes,14%
10807,"$4,851",No,22%
10808,"$5,484",No,17%
10809,"$13,237",No,15%
10810,"$4,084",No,12%
10811,"$6,132",No,17%
10812,"$5,405",No,14%
10813,"$4,163",Yes,17%
10814,"$2,231",No,18%
10815,"$4,617",No,12%
10816,"$6,120",Yes,12%
10817,"$2,994",Yes,12%
10818,"$2,332",No,20%
10819,"$2,691",No,12%
10820,"$3,761",No,12%
10821,"$4,615",Yes,23%
10822,"$12,742",No,16%
10823,"$2,318",No,19%
10824,"$19,049",Yes,14%
10825,"$5,410",Yes,17%
10826,"$2,133",Yes,16%
10827,"$16,799",No,14%
10828,"$15,379",No,14%
10829,"$10,400",No,11%
10830,"$2,342",Yes,12%
10831,"$7,412",No,11%
10832,"$18,844",No,21%
10833,"$4,508",No,22%
10834,"$4,968",No,11%
10835,"$7,756",No,17%
10836,"$4,728",Yes,14%
10837,"$2,341",No,13%
10838,"$3,419",Yes,14%
10839,"$3,867",Yes,12%
10840,"$7,119",No,15%
10841,"$2,083",No,20%
10842,"$4,115",No,19%
10843,"$13,341",No,12%
10844,"$4,033",No,11%
10845,"$6,397",No,20%
10846,"$2,290",No,13%
10847,"$11,103",No,11%
10848,"$13,348",No,13%
10849,"$6,929",No,11%
10850,"$4,422",Yes,13%
10851,"$4,069",Yes,18%
10852,"$10,447",Yes,13%
10853,"$4,759",No,18%
10854,"$2,368",No,19%
10855,"$2,546",No,16%
10856,"$6,162",Yes,22%
10857,"$3,210",No,11%
10858,"$19,999",No,14%
10859,"$1,091",No,17%
10860,"$19,845",No,15%
10861,"$19,436",No,19%
10862,"$19,187",No,14%
10863,"$13,212",No,11%
10864,"$4,444",No,13%
10865,"$5,473",No,12%
10866,"$2,073",No,16%
10867,"$5,055",No,16%
10868,"$4,148",No,12%
10869,"$8,412",No,11%
10870,"$5,210",No,18%
10871,"$3,936",No,11%
10872,"$2,728",No,11%
10873,"$14,411",Yes,13%
10874,"$2,743",No,16%
10875,"$5,087",Yes,12%
10876,"$2,168",Yes,18%
10877,"$2,132",Yes,11%
10878,"$18,300",No,11%
10879,"$2,942",No,23%
10880,"$5,486",No,11%
10881,"$2,322",No,13%
10882,"$2,461",Yes,12%
10883,"$13,582",No,13%
10884,"$8,789",No,14%
10885,"$4,262",No,12%
10886,"$4,502",No,15%
10887,"$2,174",Yes,11%
10888,"$6,500",No,17%
10889,"$4,157",Yes,19%
10890,"$3,065",Yes,13%
10891,"$10,266",No,19%
10892,"$2,515",Yes,14%
10893,"$2,695",Yes,18%
10894,"$17,861",No,13%
10895,"$2,742",No,15%
10896,"$6,306",No,21%
10897,"$10,209",Yes,18%
10898,"$6,091",No,20%
10899,"$5,265",No,16%
10900,"$2,105",No,12%
10901,"$8,008",No,12%
10902,"$2,559",No,11%
10903,"$16,627",Yes,14%
10904,"$5,468",No,14%
10905,"$2,741",No,14%
10906,"$15,427",No,16%
10907,"$17,159",No,24%
10908,"$2,342",No,21%
10909,"$9,241",No,12%
10910,"$3,022",No,21%
10911,"$4,648",No,13%
10912,"$2,351",No,16%
10913,"$5,762",No,14%
10914,"$2,564",No,14%
10915,"$3,688",No,18%
10916,"$6,474",No,13%
10917,"$11,935",No,18%
10918,"$4,325",No,15%
10919,"$4,449",Yes,15%
10920,"$6,172",Yes,18%
10921,"$1,611",No,15%
10922,"$4,724",No,11%
10923,"$10,798",No,13%
10924,"$1,274",No,13%
10925,"$3,230",No,17%
10926,"$3,730",Yes,14%
10927,"$5,957",No,13%
10928,"$4,478",Yes,11%
10929,"$3,544",No,16%
10930,"$4,284",No,20%
10931,"$2,109",No,13%
10932,"$9,705",No,12%
10933,"$6,214",No,18%
10934,"$4,382",No,17%
10935,"$2,867",No,13%
10936,"$2,683",Yes,14%
10937,"$7,625",No,13%
10938,"$4,998",Yes,14%
10939,"$2,974",No,17%
10940,"$3,485",No,11%
10941,"$3,195",Yes,18%
10942,"$19,328",Yes,17%
10943,"$3,420",No,12%
10944,"$4,735",No,15%
10945,"$5,538",No,18%
10946,"$2,406",No,11%
10947,"$4,385",No,15%
10948,"$4,878",Yes,13%
10949,"$3,420",No,13%
10950,"$5,813",Yes,18%
10951,"$5,487",No,14%
10952,"$15,402",No,11%
10953,"$19,833",No,14%
10954,"$5,476",No,11%
10955,"$5,441",Yes,22%
10956,"$2,066",No,22%
10957,"$5,810",No,16%
10958,"$2,093",No,17%
10959,"$2,013",No,11%
10960,"$9,208",No,11%
10961,"$5,238",No,20%
10962,"$2,437",Yes,16%
10963,"$3,944",Yes,11%
10964,"$2,644",Yes,21%
10965,"$3,038",No,12%
10966,"$4,969",No,18%
10967,"$4,450",No,11%
10968,"$2,226",No,11%
10969,"$2,439",Yes,24%
10970,"$13,245",Yes,14%
10971,"$3,452",No,13%
10972,"$2,207",No,16%
10973,"$5,772",Yes,21%
10974,"$6,334",No,19%
10975,"$4,306",No,12%
10976,"$2,950",No,13%
10977,"$13,744",Yes,25%
10978,"$5,373",No,12%
10979,"$2,356",Yes,19%
10980,"$5,747",Yes,15%
10981,"$4,257",Yes,18%
10982,"$10,312",No,12%
10983,"$5,993",Yes,11%
10984,"$1,081",No,13%
10985,"$2,911",No,17%
10986,"$5,381",Yes,13%
10987,"$6,142",No,11%
10988,"$18,665",Yes,11%
10989,"$16,880",Yes,11%
10990,"$5,869",No,11%
10991,"$8,606",No,19%
10992,"$5,673",Yes,13%
10993,"$16,307",No,14%
10994,"$2,654",No,21%
10995,"$2,326",Yes,12%
10996,"$5,237",No,13%
10997,"$5,736",No,19%
10998,"$10,008",Yes,14%
10999,"$2,028",Yes,14%
11000,"$2,655",Yes,11%
11001,"$9,980",No,11%
11002,"$17,169",No,19%
11003,"$5,878",No,12%
11004,"$2,851",Yes,13%
11005,"$10,596",No,11%
11006,"$2,793",No,17%
11007,"$19,545",No,12%
11008,"$5,343",No,11%
11009,"$10,920",No,21%
11010,"$3,433",No,13%
11011,"$13,458",Yes,12%
11012,"$2,610",No,24%
11013,"$5,482",No,18%
11014,"$2,413",Yes,18%
11015,"$2,766",No,22%
11016,"$4,627",No,12%
11017,"$2,587",No,16%
11018,"$2,553",No,16%
11019,"$2,408",Yes,17%
11020,"$9,724",No,17%
11021,"$19,502",Yes,17%
11022,"$2,177",No,17%
11023,"$7,525",No,12%
11024,"$5,006",Yes,11%
11025,"$6,833",Yes,12%
11026,"$2,859",No,18%
11027,"$4,963",Yes,18%
11028,"$8,823",No,18%
11029,"$6,815",No,13%
11030,"$2,700",No,24%
11031,"$6,667",No,18%
11032,"$2,119",Yes,11%
11033,"$2,089",No,14%
11034,"$7,351",No,16%
11035,"$2,696",Yes,11%
11036,"$3,202",Yes,16%
11037,"$5,155",No,13%
11038,"$3,491",No,13%
11039,"$3,143",No,19%
11040,"$2,566",Yes,15%
11041,"$6,553",No,14%
11042,"$4,381",No,11%
11043,"$2,929",No,12%
11044,"$7,403",No,11%
11045,"$5,094",No,14%
11046,"$12,061",No,17%
11047,"$2,177",No,16%
11048,"$19,189",No,12%
11049,"$4,936",No,13%
11050,"$3,886",No,21%
11051,"$2,259",No,17%
11052,"$4,876",No,14%
11053,"$9,602",Yes,11%
11054,"$3,780",No,11%
11055,"$3,622",Yes,13%
11056,"$4,434",No,13%
11057,"$5,296",No,17%
11058,"$2,088",No,12%
11059,"$15,787",Yes,14%
11060,"$2,811",No,14%
11061,"$11,031",No,20%
11062,"$3,833",No,21%
11063,"$2,436",Yes,12%
11064,"$2,176",No,13%
11065,"$9,714",No,11%
11066,"$6,244",No,17%
11067,"$13,973",Yes,18%
11068,"$4,393",No,21%
11069,"$2,693",No,19%
11070,"$6,834",Yes,12%
11071,"$6,799",No,21%
11072,"$6,272",No,20%
11073,"$5,993",No,18%
11074,"$2,858",No,14%
11075,"$3,162",No,14%
11076,"$5,042",No,13%
11077,"$6,623",Yes,11%
11078,"$3,669",No,11%
11079,"$15,992",No,14%
11080,"$5,811",Yes,16%
11081,"$4,779",Yes,20%
11082,"$6,465",Yes,13%
11083,"$2,741",Yes,15%
11084,"$5,329",Yes,12%
11085,"$3,407",No,23%
11086,"$3,629",No,18%
11087,"$4,014",Yes,15%
11088,"$2,814",Yes,14%
11089,"$4,599",Yes,23%
11090,"$2,909",No,15%
11091,"$3,211",No,14%
11092,"$10,435",No,13%
11093,"$4,037",No,22%
11094,"$10,903",No,16%
11095,"$3,448",No,22%
11096,"$6,142",Yes,20%
11097,"$2,293",Yes,16%
11098,"$2,033",No,13%
11099,"$4,087",No,14%
11100,"$11,416",Yes,12%
11101,"$3,131",No,13%
11102,"$2,760",No,13%
11103,"$14,814",No,19%
11104,"$5,473",No,11%
11105,"$5,605",Yes,24%
11106,"$3,578",No,12%
11107,"$2,342",No,19%
11108,"$5,363",No,12%
11109,"$6,811",Yes,17%
11110,"$2,707",No,20%
11111,"$2,121",Yes,13%
11112,"$7,264",No,11%
11113,"$3,986",No,14%
11114,"$3,838",No,11%
11115,"$5,454",Yes,21%
11116,"$9,991",No,15%
11117,"$1,281",No,18%
11118,"$2,926",Yes,18%
11119,"$5,067",Yes,19%
11120,"$3,280",No,16%
11121,"$8,837",Yes,16%
11122,"$2,561",No,11%
11123,"$2,517",No,11%
11124,"$4,162",Yes,12%
11125,"$11,510",Yes,14%
11126,"$10,976",No,18%
11127,"$8,621",No,14%
11128,"$2,662",No,20%
11129,"$9,888",No,21%
11130,"$6,861",Yes,12%
11131,"$2,835",No,22%
11132,"$9,985",No,16%
11133,"$2,376",No,13%
11134,"$17,665",No,17%
11135,"$8,628",No,18%
11136,"$2,725",Yes,11%
11137,"$3,041",No,11%
11138,"$2,693",No,22%
11139,"$4,448",No,12%
11140,"$16,756",No,15%
11141,"$2,307",Yes,23%
11142,"$2,107",No,17%
11143,"$10,855",No,11%
11144,"$1,904",No,12%
11145,"$2,305",No,15%
11146,"$4,312",No,14%
11147,"$2,166",Yes,14%
11148,"$2,450",No,19%
11149,"$5,220",Yes,18%
11150,"$13,499",No,17%
11151,"$12,504",No,21%
11152,"$3,894",No,16%
11153,"$4,741",Yes,13%
11154,"$12,490",No,16%
11155,"$16,032",No,20%
11156,"$6,032",Yes,15%
11157,"$6,499",No,13%
11158,"$5,309",No,15%
11159,"$2,768",No,12%
11160,"$10,368",Yes,12%
11161,"$3,917",No,20%
11162,"$4,568",No,20%
11163,"$6,294",Yes,12%
11164,"$7,918",No,14%
11165,"$3,408",No,13%
11166,"$4,883",No,18%
11167,"$17,779",No,14%
11168,"$13,664",No,13%
11169,"$5,505",No,14%
11170,"$4,898",No,14%
11171,"$2,022",Yes,19%
11172,"$3,517",No,17%
11173,"$18,789",No,14%
11174,"$5,228",No,15%
11175,"$6,323",No,11%
11176,"$5,131",No,13%
11177,"$2,329",No,15%
11178,"$4,256",No,12%
11179,"$2,258",No,20%
11180,"$5,347",No,14%
11181,"$9,439",Yes,16%
11182,"$2,713",No,11%
11183,"$10,648",No,25%
11184,"$7,553",Yes,12%
11185,"$2,622",No,21%
11186,"$1,102",No,22%
11187,"$2,592",No,13%
11188,"$6,077",No,11%
11189,"$11,849",Yes,12%
11190,"$6,781",No,23%
11191,"$2,285",Yes,23%
11192,"$9,525",No,14%
11193,"$3,294",Yes,18%
11194,"$15,202",No,25%
11195,"$5,914",No,16%
11196,"$1,569",Yes,12%
11197,"$19,081",No,11%
11198,"$2,804",No,11%
11199,"$5,714",No,20%
11200,"$10,377",Yes,11%
11201,"$2,148",Yes,11%
11202,"$2,267",No,17%
11203,"$6,230",No,14%
11204,"$6,854",No,15%
11205,"$2,109",No,18%
11206,"$3,702",No,11%
11207,"$17,924",No,11%
11208,"$11,916",Yes,23%
11209,"$14,118",No,12%
11210,"$2,559",No,11%
11211,"$9,699",No,11%
11212,"$7,587",No,15%
11213,"$1,555",No,11%
11214,"$6,578",No,18%
11215,"$3,660",No,13%
11216,"$4,581",Yes,24%
11217,"$7,655",No,17%
11218,"$9,434",No,15%
11219,"$5,768",No,17%
11220,"$2,996",No,14%
11221,"$8,858",No,11%
11222,"$3,968",No,13%
11223,"$4,898",No,12%
11224,"$2,973",No,15%
11225,"$3,815",Yes,17%
11226,"$2,340",Yes,18%
11227,"$2,523",No,14%
11228,"$4,765",No,21%
11229,"$5,238",Yes,18%
11230,"$2,863",No,12%
11231,"$4,707",No,12%
11232,"$2,972",No,13%
11233,"$6,500",No,14%
11234,"$12,031",No,11%
11235,"$5,171",No,17%
11236,"$4,601",No,16%
11237,"$3,681",No,14%
11238,"$8,639",No,18%
11239,"$11,557",No,21%
11240,"$4,285",No,17%
11241,"$3,295",No,13%
11242,"$4,907",Yes,22%
11243,"$2,296",No,14%
11244,"$2,335",Yes,15%
11245,"$5,343",No,20%
11246,"$3,907",No,13%
11247,"$2,500",No,14%
11248,"$2,323",Yes,14%
11249,"$2,302",Yes,11%
11250,"$11,245",Yes,15%
11251,"$7,314",No,21%
11252,"$13,549",No,12%
11253,"$3,708",No,14%
11254,"$4,014",Yes,25%
11255,"$6,651",No,14%
11256,"$3,306",No,19%
11257,"$18,824",Yes,16%
11258,"$2,404",Yes,20%
11259,"$16,752",Yes,11%
11260,"$6,151",No,13%
11261,"$6,347",No,12%
11262,"$3,737",No,19%
11263,"$5,769",Yes,14%
11264,"$3,376",No,13%
11265,"$10,932",No,15%
11266,"$7,379",No,11%
11267,"$5,593",No,13%
11268,"$4,682",No,14%
11269,"$10,453",No,25%
11270,"$10,938",No,25%
11271,"$3,388",Yes,17%
11272,"$10,124",Yes,14%
11273,"$3,505",No,18%
11274,"$2,064",No,21%
11275,"$2,827",No,12%
11276,"$2,570",No,20%
11277,"$4,787",Yes,14%
11278,"$3,140",Yes,22%
11279,"$4,553",No,11%
11280,"$2,277",Yes,11%
11281,"$4,539",No,12%
11282,"$4,978",No,11%
11283,"$16,422",No,11%
11284,"$13,116",No,11%
11285,"$4,941",No,15%
11286,"$19,038",No,12%
11287,"$2,096",No,18%
11288,"$4,789",No,25%
11289,"$2,311",No,15%
11290,"$7,756",Yes,19%
11291,"$10,096",No,13%
11292,"$6,804",Yes,15%
11293,"$3,348",Yes,11%
11294,"$13,496",Yes,14%
11295,"$2,398",Yes,17%
11296,"$1,859",Yes,25%
11297,"$6,842",No,20%
11298,"$5,376",No,19%
11299,"$6,582",Yes,13%
11300,"$17,068",Yes,14%
11301,"$9,582",Yes,22%
11302,"$2,042",No,12%
11303,"$8,321",Yes,13%
11304,"$6,232",No,11%
11305,"$2,323",No,24%
11306,"$2,862",No,12%
11307,"$3,058",Yes,16%
11308,"$3,072",No,11%
11309,"$3,229",No,11%
11310,"$4,260",Yes,12%
11311,"$19,658",No,11%
11312,"$2,899",No,19%
11313,"$2,781",No,13%
11314,"$6,877",Yes,24%
11315,"$11,691",No,11%
11316,"$2,720",No,13%
11317,"$9,854",Yes,11%
11318,"$3,312",No,17%
11319,"$6,931",No,14%
11320,"$6,712",No,21%
11321,"$2,610",No,12%
11322,"$4,663",Yes,12%
11323,"$19,627",No,17%
11324,"$8,161",No,13%
11325,"$4,538",Yes,12%
11326,"$2,468",No,14%
11327,"$18,200",No,11%
11328,"$3,633",Yes,15%
11329,"$1,675",Yes,19%
11330,"$3,196",No,12%
11331,"$2,552",No,25%
11332,"$13,577",Yes,15%
11333,"$8,834",No,13%
11334,"$2,996",Yes,15%
11335,"$5,337",No,12%
11336,"$10,333",Yes,12%
11337,"$19,665",No,12%
11338,"$1,420",No,13%
11339,"$7,988",No,13%
11340,"$13,826",No,22%
11341,"$8,500",No,11%
11342,"$6,029",No,12%
11343,"$4,558",No,12%
11344,"$1,483",No,14%
11345,"$9,613",No,17%
11346,"$6,380",Yes,12%
11347,"$2,544",No,18%
11348,"$4,559",Yes,11%
11349,"$2,206",No,13%
11350,"$4,193",Yes,12%
11351,"$5,661",No,19%
11352,"$4,788",Yes,11%
11353,"$2,404",No,13%
11354,"$2,657",Yes,11%
11355,"$8,943",No,24%
11356,"$2,238",No,21%
11357,"$7,978",No,11%
11358,"$2,838",No,14%
11359,"$10,231",No,14%
11360,"$5,304",Yes,13%
11361,"$13,770",Yes,12%
11362,"$9,380",Yes,18%
11363,"$7,898",No,11%
11364,"$4,465",No,18%
11365,"$4,591",Yes,17%
11366,"$4,477",Yes,19%
11367,"$4,425",No,11%
