EmployeeNumber,EmployeeID,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Department,JobLevel,JobRole,Attrition,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,BusinessTravel,Age,Gender,MaritalStatus,Education,EducationField,DistanceFromHome,EmployeeNumber,EmployeeID,PerformanceRating
1535,10574,"$7,083",Yes,14%,3,10,9,8,6,10,1,Sales,3,Sales Executive,No,4,3,3,Travel_Rarely,34,Male,Married,3,Technical Degree,1,1535,10574,3
1602,10575,"$17,567",No,15%,5,26,0,0,12,27,1,Sales,4,Manager,No,4,1,1,Travel_Rarely,46,Male,Single,4,Life Sciences,1,1602,10575,3
302,10576,"$8,865",No,12%,2,19,7,12,8,23,6,Sales,3,Sales Executive,No,4,4,3,Non-Travel,45,Female,Single,3,Medical,6,302,10576,3
1974,10577,"$1,129",Yes,11%,4,1,0,0,0,1,1,Research & Development,1,Laboratory Technician,No,4,4,3,Travel_Rarely,31,Female,Divorced,1,Medical,2,1974,10577,3
1033,10578,"$4,777",No,15%,2,1,0,0,0,15,5,Research & Development,2,Healthcare Representative,Yes,1,2,1,Travel_Rarely,37,Female,Married,2,Medical,11,1033,10578,3
1728,10579,"$6,883",No,16%,3,7,7,0,7,17,2,Research & Development,2,Manufacturing Director,No,4,3,3,Travel_Rarely,35,Male,Married,4,Life Sciences,27,1728,10579,3
1997,10580,"$5,321",No,11%,1,8,3,7,7,10,2,Research & Development,2,Manufacturing Director,No,1,3,3,Travel_Frequently,38,Male,Married,4,Life Sciences,6,1997,10580,3
474,10581,"$5,974",Yes,13%,2,7,7,6,7,13,4,Research & Development,2,Research Scientist,No,3,1,3,Travel_Rarely,37,Male,Divorced,3,Medical,6,474,10581,3
1294,10582,"$5,410",Yes,11%,2,16,14,5,12,18,9,Research & Development,2,Manufacturing Director,No,3,2,3,Travel_Rarely,36,Female,Single,4,Life Sciences,2,1294,10582,3
1032,10583,"$13,726",Yes,13%,4,5,3,4,3,30,3,Research & Development,4,Manufacturing Director,No,3,4,3,Travel_Rarely,59,Female,Single,3,Life Sciences,2,1032,10583,3
728,10584,"$4,960",No,12%,2,7,7,1,7,20,2,Sales,2,Sales Executive,No,4,1,3,Travel_Rarely,47,Male,Single,4,Marketing,14,728,10584,3
1010,10585,"$3,743",Yes,24%,2,4,2,0,2,5,1,Research & Development,1,Laboratory Technician,Yes,3,2,1,Travel_Rarely,35,Male,Divorced,4,Other,14,1010,10585,4
56,10586,"$8,726",No,15%,0,9,8,1,7,9,1,Sales,3,Sales Executive,No,4,3,3,Travel_Frequently,27,Male,Single,3,Life Sciences,8,56,10586,3
38,10587,"$18,947",No,12%,2,2,2,2,1,22,3,Sales,5,Manager,No,2,1,2,Travel_Rarely,46,Female,Single,4,Marketing,2,38,10587,3
556,10588,"$1,702",Yes,23%,3,1,0,0,0,1,1,Research & Development,1,Laboratory Technician,No,4,4,3,Travel_Frequently,38,Male,Married,2,Life Sciences,2,556,10588,4
1165,10589,"$7,336",No,13%,3,11,8,3,10,11,1,Sales,3,Sales Executive,Yes,4,1,1,Travel_Rarely,29,Female,Married,1,Life Sciences,23,1165,10589,3
4,10590,"$2,090",Yes,15%,3,0,0,0,0,7,6,Research & Development,1,Laboratory Technician,Yes,4,3,3,Travel_Rarely,37,Male,Single,2,Other,2,4,10590,3
1587,10591,"$6,142",Yes,16%,4,5,2,0,4,10,3,Research & Development,2,Healthcare Representative,No,1,3,3,Travel_Rarely,35,Female,Single,4,Medical,10,1587,10591,3
226,10592,"$19,926",No,15%,5,5,4,4,4,21,3,Research & Development,5,Manager,No,3,2,3,Travel_Rarely,50,Female,Single,3,Life Sciences,11,226,10592,3
387,10593,"$4,907",No,25%,3,20,16,11,6,20,1,Sales,2,Sales Executive,No,2,3,3,Travel_Rarely,42,Male,Married,1,Life Sciences,1,387,10593,4
1527,10594,"$16,606",No,12%,2,13,12,5,1,23,8,Sales,4,Manager,No,3,2,4,Travel_Rarely,46,Female,Married,3,Life Sciences,3,1527,10594,3
139,10595,"$5,163",No,14%,2,1,0,0,0,17,5,Research & Development,2,Healthcare Representative,No,3,4,4,Non-Travel,37,Male,Divorced,2,Life Sciences,2,139,10595,3
1513,10596,"$3,180",No,13%,3,3,2,0,2,4,0,Research & Development,1,Laboratory Technician,No,4,2,3,Travel_Frequently,29,Female,Married,1,Life Sciences,2,1513,10596,3
1447,10597,"$3,294",No,17%,2,5,4,0,2,7,5,Research & Development,1,Laboratory Technician,No,4,2,2,Travel_Rarely,34,Female,Married,3,Life Sciences,1,1447,10597,3
1434,10598,"$2,099",No,14%,3,5,0,1,4,6,0,Research & Development,1,Laboratory Technician,No,2,1,4,Travel_Rarely,27,Male,Married,1,Life Sciences,11,1434,10598,3
1453,10599,"$10,793",No,18%,5,13,7,9,9,13,1,Sales,3,Sales Executive,No,1,4,3,Travel_Rarely,31,Male,Divorced,2,Life Sciences,8,1453,10599,3
523,10600,"$6,538",No,15%,3,3,2,1,2,6,9,Sales,2,Sales Executive,No,3,3,3,Non-Travel,34,Female,Married,4,Marketing,4,523,10600,3
705,10601,"$2,819",No,16%,3,3,2,0,2,5,2,Research & Development,1,Research Scientist,No,1,1,4,Travel_Rarely,23,Male,Married,3,Medical,4,705,10601,3
1472,10602,"$16,598",No,12%,2,9,8,8,8,35,4,Research & Development,4,Research Director,No,4,2,2,Travel_Rarely,53,Male,Single,3,Medical,2,1472,10602,3
1177,10603,"$4,420",No,22%,2,8,7,0,7,8,1,Research & Development,1,Laboratory Technician,No,1,4,3,Travel_Rarely,26,Male,Married,4,Medical,3,1177,10603,4
208,10604,"$4,319",No,13%,1,10,7,0,9,10,1,Research & Development,2,Manufacturing Director,No,4,3,3,Non-Travel,29,Male,Married,1,Technical Degree,1,208,10604,3
1973,10605,"$19,636",Yes,18%,0,10,9,1,4,35,4,Human Resources,5,Manager,No,3,2,3,Travel_Rarely,55,Male,Married,4,Human Resources,26,1973,10605,3
1821,10606,"$8,926",No,22%,2,9,7,3,7,13,4,Research & Development,2,Healthcare Representative,Yes,4,2,4,Travel_Rarely,46,Female,Married,2,Medical,21,1821,10606,4
2038,10607,"$2,439",No,14%,4,4,2,1,2,4,1,Research & Development,1,Research Scientist,No,4,1,3,Travel_Rarely,32,Male,Single,3,Technical Degree,2,2038,10607,3
1154,10608,"$2,703",Yes,14%,2,3,1,0,2,3,1,Research & Development,1,Research Scientist,No,3,3,3,Travel_Frequently,28,Male,Divorced,3,Life Sciences,6,1154,10608,3
976,10609,"$17,099",No,15%,2,9,8,7,8,26,2,Research & Development,4,Manager,No,4,4,2,Travel_Rarely,52,Male,Married,2,Life Sciences,1,976,10609,3
1118,10610,"$10,445",No,19%,4,8,6,4,0,18,7,Research & Development,3,Healthcare Representative,No,2,2,3,Travel_Rarely,52,Male,Single,4,Life Sciences,7,1118,10610,3
771,10611,"$5,093",No,11%,2,1,0,0,0,16,2,Research & Development,2,Healthcare Representative,No,4,1,4,Non-Travel,35,Female,Divorced,4,Life Sciences,2,771,10611,3
1218,10612,"$8,966",Yes,15%,2,7,7,1,7,15,3,Sales,2,Sales Executive,No,3,1,3,Travel_Rarely,35,Male,Married,4,Life Sciences,17,1218,10612,3
904,10613,"$7,642",Yes,13%,2,10,0,0,9,10,1,Sales,3,Sales Executive,No,1,2,3,Non-Travel,37,Male,Single,2,Medical,19,904,10613,3
1240,10614,"$4,950",No,14%,4,4,3,1,1,5,0,Sales,2,Sales Executive,No,3,4,3,Travel_Rarely,25,Male,Single,4,Life Sciences,10,1240,10614,3
2053,10615,"$4,025",Yes,13%,2,4,3,0,3,10,4,Research & Development,2,Laboratory Technician,No,4,2,3,Travel_Rarely,29,Male,Married,2,Other,13,2053,10615,3
227,10616,"$2,451",No,12%,2,9,8,1,8,13,4,Research & Development,1,Research Scientist,No,1,3,3,Travel_Rarely,41,Male,Divorced,3,Life Sciences,14,227,10616,3
1383,10617,"$6,687",No,11%,2,14,11,4,11,14,1,Research & Development,2,Healthcare Representative,No,3,4,4,Travel_Rarely,34,Female,Single,4,Technical Degree,2,1383,10617,3
742,10618,"$11,713",No,14%,2,8,7,0,5,10,9,Research & Development,3,Research Director,No,1,1,3,Non-Travel,36,Female,Married,3,Life Sciences,8,742,10618,3
2021,10619,"$2,380",Yes,11%,6,2,2,1,2,2,1,Sales,1,Sales Representative,No,3,1,3,Travel_Rarely,21,Male,Single,1,Medical,5,2021,10619,3
864,10620,"$10,761",Yes,12%,2,5,4,0,2,18,4,Sales,3,Sales Executive,No,4,1,3,Travel_Rarely,45,Male,Divorced,3,Marketing,9,864,10620,3
709,10621,"$4,028",No,20%,2,7,7,0,5,8,0,Sales,2,Sales Executive,No,4,4,3,Travel_Rarely,38,Female,Single,4,Marketing,7,709,10621,4
388,10622,"$4,554",No,18%,3,10,7,0,9,10,1,Sales,2,Sales Executive,No,2,4,2,Travel_Frequently,29,Male,Single,2,Life Sciences,2,388,10622,3
1962,10623,"$5,204",Yes,11%,2,10,8,0,9,10,1,Sales,2,Sales Executive,No,3,4,3,Travel_Rarely,35,Female,Married,4,Life Sciences,7,1962,10623,3
33,10624,"$3,919",Yes,22%,5,10,2,6,7,10,1,Research & Development,1,Research Scientist,Yes,2,1,3,Travel_Frequently,32,Female,Single,1,Life Sciences,16,33,10624,4
1888,10625,"$5,906",No,13%,2,9,8,3,8,10,0,Research & Development,2,Manufacturing Director,No,2,4,2,Travel_Rarely,45,Female,Married,2,Life Sciences,25,1888,10625,3
1402,10626,"$4,081",Yes,14%,3,20,7,1,8,20,1,Research & Development,2,Research Scientist,No,1,3,1,Travel_Rarely,43,Female,Single,3,Medical,6,1402,10626,3
1863,10627,"$13,225",No,12%,5,19,17,2,8,25,2,Sales,4,Sales Executive,No,1,1,3,Travel_Rarely,46,Female,Divorced,3,Technical Degree,3,1863,10627,3
1669,10628,"$4,187",Yes,13%,3,10,0,0,9,10,1,Sales,2,Sales Executive,No,1,2,2,Travel_Rarely,29,Male,Divorced,3,Medical,5,1669,10628,3
1757,10629,"$4,507",No,12%,1,5,1,0,4,8,3,Sales,2,Sales Executive,No,4,4,4,Travel_Rarely,49,Female,Single,4,Marketing,11,1757,10629,3
551,10630,"$4,523",No,11%,4,6,5,0,4,7,0,Research & Development,2,Healthcare Representative,No,4,4,4,Travel_Frequently,42,Female,Married,4,Technical Degree,28,551,10630,3
1654,10631,"$5,295",No,21%,3,5,4,1,0,7,4,Research & Development,2,Manufacturing Director,No,4,2,3,Travel_Rarely,39,Male,Married,3,Medical,12,1654,10631,4
448,10632,"$5,257",No,11%,3,9,7,0,0,9,1,Research & Development,2,Laboratory Technician,No,3,3,4,Travel_Frequently,43,Female,Divorced,4,Life Sciences,10,448,10632,3
807,10633,"$4,244",No,24%,2,8,7,3,7,8,1,Research & Development,2,Healthcare Representative,No,3,2,3,Travel_Frequently,40,Female,Married,2,Medical,2,807,10633,4
816,10634,"$2,319",Yes,11%,1,1,0,0,0,1,1,Research & Development,1,Laboratory Technician,Yes,2,1,3,Travel_Rarely,29,Female,Married,2,Life Sciences,1,816,10634,3
1013,10635,"$10,739",No,11%,2,10,7,0,8,22,8,Research & Development,3,Manufacturing Director,No,3,3,3,Travel_Rarely,54,Female,Married,3,Technical Degree,17,1013,10635,3
932,10636,"$2,404",Yes,21%,2,2,2,2,2,8,7,Research & Development,1,Laboratory Technician,Yes,4,1,1,Travel_Rarely,39,Male,Married,3,Medical,6,932,10636,4
152,10637,"$7,428",No,12%,3,5,3,1,3,12,2,Sales,3,Sales Executive,No,3,4,3,Travel_Rarely,37,Male,Single,3,Life Sciences,3,152,10637,3
1373,10638,"$13,402",Yes,12%,0,19,16,15,9,33,4,Research & Development,4,Manufacturing Director,No,4,2,3,Travel_Rarely,56,Male,Married,3,Life Sciences,23,1373,10638,3
1308,10639,"$2,372",No,12%,3,2,2,2,2,2,1,Research & Development,1,Research Scientist,No,1,3,3,Travel_Rarely,58,Male,Divorced,4,Life Sciences,23,1308,10639,3
1007,10640,"$10,845",No,13%,3,8,7,0,7,13,6,Research & Development,3,Manufacturing Director,No,4,3,3,Travel_Rarely,46,Male,Divorced,2,Medical,7,1007,10640,3
378,10641,"$6,502",No,14%,5,5,4,0,1,7,4,Sales,2,Sales Executive,No,3,4,4,Travel_Rarely,37,Male,Married,4,Medical,6,378,10641,3
1375,10642,"$6,377",No,20%,0,12,11,11,8,15,5,Research & Development,2,Healthcare Representative,No,2,3,3,Travel_Rarely,40,Female,Divorced,1,Medical,2,1375,10642,4
469,10643,"$4,649",No,14%,3,4,3,0,2,4,1,Sales,2,Sales Executive,No,4,3,2,Non-Travel,29,Male,Married,3,Life Sciences,2,469,10643,3
252,10644,"$2,756",No,13%,5,8,7,1,6,8,1,Research & Development,1,Research Scientist,No,4,2,3,Travel_Rarely,33,Female,Married,3,Medical,14,252,10644,3
1560,10645,"$6,392",No,13%,6,2,2,2,2,8,2,Sales,2,Sales Executive,No,1,1,1,Travel_Rarely,33,Male,Married,4,Life Sciences,8,1560,10645,3
1173,10646,"$3,597",No,22%,2,4,3,1,2,6,8,Research & Development,1,Laboratory Technician,No,4,2,3,Travel_Rarely,24,Male,Single,3,Medical,24,1173,10646,4
1622,10647,"$4,877",No,21%,5,5,3,0,0,6,0,Research & Development,2,Manufacturing Director,No,2,1,2,Travel_Rarely,28,Female,Divorced,3,Medical,27,1622,10647,4
650,10648,"$4,233",No,17%,2,3,1,1,2,9,2,Sales,2,Sales Executive,Yes,2,1,1,Travel_Rarely,31,Male,Divorced,4,Medical,13,650,10648,3
722,10649,"$5,396",No,12%,2,10,7,0,8,10,1,Sales,2,Sales Executive,No,4,4,2,Travel_Rarely,32,Male,Single,3,Marketing,10,722,10649,3
